liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
281,3,3.626856855287741E-6,1.9317880628477724E-13,3.626811040824407E-6
291,1,5.8749779217048825E-6,2.602140725116442E-12,5.874908563852088E-6
291,2,1.6561589000207988E-7,8.243405957841787E-15,1.6561393967329252E-7
291,3,3.381871358509869E-6,1.6209256159527285E-13,3.381831524595924E-6
301,1,5.49109775593859E-6,2.274069821339708E-12,5.491037160298973E-6
301,2,1.5479430676146322E-7,6.938893903907228E-15,1.547926023748314E-7
301,3,3.1608950448180906E-6,1.4654943925052066E-13,3.160860276185673E-6
311,1,5.143649214667256E-6,1.9945156637390937E-12,5.143596052414878E-6
311,2,1.449997294733496E-7,6.161737786669619E-15,1.4499823480784713E-7
311,3,2.960890143288708E-6,1.270095140171179E-13,2.960859593503784E-6
321,1,4.8281640153691185E-6,1.7574830479816228E-12,4.828117170951884E-6
321,2,1.3610619728487983E-7,5.689893001203927E-15,1.3610487992199438E-7
321,3,2.779284542508975E-6,1.1102230246251565E-13,2.7792576360319288E-6
331,1,4.540838485000975E-6,1.5543122344752192E-12,4.540797051699741E-6
331,2,1.2800648535593595E-7,4.829470157119431E-15,1.280053207597387E-7
331,3,2.6138887134763422E-6,9.725553695716371E-14,2.6138648743234683E-6
341,1,4.2784183650335095E-6,1.3797851750041445E-12,4.278381578570745E-6
341,2,1.2060885620779338E-7,4.3298697960381105E-15,1.2060782206280152E-7
341,3,2.4628293844308757E-6,8.837375276016246E-14,2.4628082297972753E-6
351,1,4.038106263926089E-6,1.2283507544452732E-12,4.038073496137606E-6
351,2,1.1383445200352504E-7,4.135580766728708E-15,1.138335313233263E-7
351,3,2.32449627635134E-6,7.416289804496046E-14,2.3244774070008134E-6
361,1,3.817486796009462E-6,1.098676705169055E-12,3.817457514210254E-6
361,2,1.076151825152305E-7,3.247402347028583E-15,1.0761435953465792E-7
361,3,2.197499006761916E-6,7.061018436615996E-14,2.1974821327042093E-6
371,1,3.6144656483383386E-6,9.847678228425139E-13,3.6144393836812228E-6
371,2,1.0189200971844059E-7,2.886579864025407E-15,1.0189127042092849E-7
371,3,2.080632008460981E-6,6.483702463810914E-14,2.0806169365172877E-6
381,1,3.427219696150452E-6,8.851808175336373E-13,3.427196094141216E-6
381,2,9.6613539585233E-8,2.6645352591003757E-15,9.661287631024251E-8
381,3,1.9728458160450657E-6,5.551115123125783E-14,1.972832209595765E-6
391,1,3.254155926613045E-6,7.975842208907125E-13,3.2541346425274398E-6
391,2,9.173486537061848E-8,2.55351295663786E-15,9.17342654893627E-8
391,3,1.8732234443596951E-6,5.46229728115577E-14,1.8732112296859782E-6
401,1,3.0938774524535972E-6,7.215339437038892E-13,3.0938582200601417E-6
401,2,8.721660851862545E-8,2.3869795029440866E-15,8.721606806205706E-8
401,3,1.7809607828489504E-6,4.6629367034256575E-14,1.780949686391864E-6
411,1,2.945155225919649E-6,6.543654507140673E-13,2.9451377899780695E-6
411,2,8.302412246585789E-8,2.0261570199409107E-15,8.302363210810348E-8
411,3,1.6953503516603519E-6,4.3076653355456074E-14,1.6953403174646553E-6
421,1,2.8069044145651034E-6,5.944134073843088E-13,2.8068885726817427E-6
421,2,7.912682570276885E-8,1.7208456881689926E-15,7.912637986495774E-8
421,3,1.6157676689942946E-6,4.1300296516055823E-14,1.6157585749354553E-6
431,1,2.6781645555695732E-6,5.414557691096888E-13,2.678150143542446E-6
431,2,7.549764294290107E-8,1.609823385706477E-15,7.549723826660859E-8
431,3,1.5416598704298679E-6,3.8191672047105385E-14,1.5416515366517558E-6
441,1,2.558082835002473E-6,4.933831121434196E-13,2.558069675862029E-6
441,2,7.211253341687929E-8,1.4988010832439613E-15,7.211216246361118E-8
441,3,1.4725360339973292E-6,3.6415315207705135E-14,1.4725284991357057E-6
451,1,2.445899926595274E-6,4.5075054799781356E-13,2.4458879114286347E-6
451,2,6.895009152518838E-8,1.3322676295501878E-15,6.894975407290005E-8
451,3,1.4079590613391701E-6,3.4638958368304884E-14,1.4079521215570878E-6
461,1,2.340937955369604E-6,4.135580766728708E-13,2.340926958943612E-6
461,2,6.599120794259505E-8,1.3322676295501878E-15,6.599089941161651E-8
461,3,1.3475387481420853E-6,2.220446049250313E-14,1.3475323825673513E-6
471,1,2.242590235956854E-6,3.788080960021034E-13,2.24258014258627E-6
471,2,6.321878046056106E-8,8.881784197001252E-16,6.32184957438664E-8
471,3,1.2909258568782889E-6,2.398081733190338E-14,1.29092005041187E-6
481,1,2.150312483739647E-6,3.489430966396867E-13,2.1503032114900122E-6
481,2,6.061746532504131E-8,1.1102230246251565E-15,6.061720500549761E-8
481,3,1.237807081277964E-6,2.220446049250313E-14,1.2378017073544356E-6
491,1,2.0636152731068336E-6,3.2007729799943263E-13,2.0636067223911425E-6
491,2,5.817346612757568E-8,9.992007221626409E-16,5.81732246818234E-8
491,3,1.1879006844850437E-6,2.042810365310288E-14,1.187895779519721E-6
501,1,1.982057528215897E-6,2.958744360626042E-13,1.982049637194727E-6
501,2,5.587434828702165E-8,7.771561172376096E-16,5.587412460483776E-8
501,3,1.1409527669314912E-6,1.9095836023552692E-14,1.1409482882918098E-6
511,1,1.9052409030440032E-6,2.728928194528635E-13,1.905233623422653E-6
511,2,5.3708883118730455E-8,6.106226635438361E-16,5.3708678893205075E-8
511,3,1.09673402892696E-6,1.2878587085651816E-14,1.0967298011976823E-6
521,1,1.832804915724573E-6,2.5268676040468563E-13,1.8327981642363156E-6
521,2,5.166690850155753E-8,8.881784197001252E-16,5.166671654399657E-8
521,3,1.0550369591300068E-6,2.042810365310288E-14,1.0550331288605719E-6
531,1,1.7644227002788782E-6,2.345901251032956E-13,1.7644164520547179E-6
531,2,4.973920952888733E-8,7.216449660063518E-16,4.9739032864648536E-8
531,3,1.015673400939221E-6,1.2878587085651816E-14,1.0156698340146875E-6
541,1,1.6997973186771986E-6,2.1826984664130578E-13,1.6997915091021554E-6
541,2,4.791741603504818E-8,4.718447854656915E-16,4.7917250750595386E-8
541,3,9.78472428414534E-7,1.6431300764452317E-14,9.78469116397207E-7
551,1,1.6386585346417348E-6,2.0339285811132868E-13,1.6386531402901028E-6
551,2,4.619390975291182E-8,9.43689570931383E-16,4.6193757236023814E-8
551,3,9.432784762175572E-7,1.509903313490213E-14,9.432753858007459E-7
561,1,1.580759978914159E-6,1.8951507030351422E-13,1.5807549544888388E-6
561,2,4.456174559908099E-8,3.885780586188048E-16,4.456160268562215E-8
561,3,9.099497315645522E-7,9.769962616701378E-15,9.09946891169966E-7
571,1,1.525876662911152E-6,1.758593271006248E-13,1.5258719956445788E-6
571,2,4.3014581146971764E-8,5.551115123125783E-16,4.301445122312231E-8
571,3,8.783566785020014E-7,1.021405182655144E-14,8.783539526824313E-7
581,1,1.4738027950267352E-6,1.6397994073713562E-13,1.4737984408430549E-6
581,2,4.154661573108065E-8,6.106226635438361E-16,4.154649430043733E-8
581,3,8.48380857565445E-7,1.199040866595169E-14,8.483783036083992E-7
591,1,1.4243498431820711E-6,1.5276668818842154E-13,1.4243457756579758E-6
591,2,4.015253374234362E-8,4.440892098500626E-16,4.0152419333860934E-8
591,3,8.199137409015123E-7,1.8207657603852567E-14,8.199113668005964E-7
601,1,1.3773448320764103E-6,1.4299672557172016E-13,1.3773410263429042E-6
601,2,3.8827459331036707E-8,4.996003610813204E-16,3.882735163940332E-8
601,3,7.928557534953029E-7,6.661338147750939E-15,7.928535561418926E-7
611,1,1.3326288202941683E-6,1.3278267374516872E-13,1.332625260030973E-6
611,2,3.7566911664788094E-8,9.992007221626409E-16,3.756681166144915E-8
611,3,7.67115408972785E-7,9.769962616701378E-15,7.671133319675505E-7
621,1,1.2900555638184485E-6,1.254552017826427E-13,1.2900522188274977E-6
621,2,3.636676859652965E-8,4.996003610813204E-16,3.63666738389945E-8
621,3,7.426085248951608E-7,6.661338147750939E-15,7.42606609982488E-7
631,1,1.249490311105994E-6,1.1812772982011666E-13,1.249487183385689E-6
631,2,3.5223231442671477E-8,1.6653345369377348E-16,3.5223145039564585E-8
631,3,7.192575171011129E-7,5.773159728050814E-15,7.192556625845725E-7
641,1,1.210808739604552E-6,1.1046719095020308E-13,1.2108058043969194E-6
641,2,3.4132795340147126E-8,1.1102230246251565E-16,3.413271354446579E-8
641,3,6.969908414866666E-7,6.217248937900877E-15,6.969891033214992E-7
651,1,1.1738960037366297E-6,1.0369483049998962E-13,1.173893230288492E-6
651,2,3.3092222628816614E-8,4.996003610813204E-16,3.3092143941759744E-8
651,3,6.757423727243861E-7,1.4654943925052066E-14,6.757408050894753E-7
661,1,1.1386458766970975E-6,9.725553695716371E-14,1.1386432654525436E-6
661,2,3.209851889840465E-8,2.498001805406602E-16,3.209844448570642E-8
661,3,6.554509708323053E-7,6.661338147750939E-15,6.554494991206639E-7
671,1,1.1049599879520144E-6,9.281464485866309E-14,1.1049575417976243E-6
671,2,3.114891108935147E-8,3.885780586188048E-16,3.114884272736873E-8
671,3,6.360600091070978E-7,8.43769498715119E-15,6.360585707021471E-7
681,1,1.0727471374538666E-6,8.681944052568724E-14,1.072744818531035E-6
681,2,3.0240828535754716E-8,1.3877787807814457E-16,3.024076261626263E-8
681,3,6.175169851019291E-7,3.1086244689504383E-15,6.175156808119198E-7
691,1,1.0419226741387178E-6,8.271161533457416E-14,1.0419204834466456E-6
691,2,2.937188472995622E-8,4.440892098500626E-16,2.9371821919088603E-8
691,3,5.997731769014081E-7,6.661338147750939E-15,5.997719707551141E-7
701,1,1.0124079439233213E-6,7.649436639667329E-14,1.012405885680856E-6
701,2,2.853986239004236E-8,0.0,2.8539803742511083E-8
701,3,5.827832967320035E-7,1.3322676295501878E-15,5.827821500936636E-7
711,1,9.841297823331985E-7,7.30526750203353E-14,9.841278505451356E-7
711,2,2.7742699110211433E-8,2.498001805406602E-16,2.7742646874218124E-8
